host_name,count,percentage
Matthew,3,0.03787400580734756
Antonio,2,0.025249337204898373
Jacelyn,5,0.06312334301224592
Nathan,2,0.025249337204898373
Jim,4,0.050498674409796745
Natalie,3,0.03787400580734756
Hana,2,0.025249337204898373
Christian,5,0.06312334301224592
Ray,16,0.20199469763918698
Jo,6,0.07574801161469512
Jennifer,6,0.07574801161469512
Theresa,2,0.025249337204898373
Kong Wee,7,0.0883726802171443
Amito,2,0.025249337204898373
Hieu,2,0.025249337204898373
Chris,30,0.37874005807347555
Marc,2,0.025249337204898373
K.,2,0.025249337204898373
Roger,3,0.03787400580734756
Coco,4,0.050498674409796745
Reggie,2,0.025249337204898373
Sandy,3,0.03787400580734756
超,2,0.025249337204898373
Tommy,22,0.27774270925388206
Lynelle,3,0.03787400580734756
Dream Lodge,8,0.10099734881959349
Rebecca,2,0.025249337204898373
Marisca,2,0.025249337204898373
Jian Hao,2,0.025249337204898373
IEraaniyan,2,0.025249337204898373
Js,3,0.03787400580734756
Jack,4,0.050498674409796745
Hani,5,0.06312334301224592
Ark,11,0.13887135462694103
Alfred,4,0.050498674409796745
Gat,3,0.03787400580734756
Wansik,5,0.06312334301224592
Mara,3,0.03787400580734756
Jing,7,0.0883726802171443
Ngoc,3,0.03787400580734756
Darcy,114,1.439212220679207
Chi Siang,2,0.025249337204898373
Jonathan,6,0.07574801161469512
Sona,3,0.03787400580734756
Win,11,0.13887135462694103
Winnie,3,0.03787400580734756
Abhishek,3,0.03787400580734756
Francis,3,0.03787400580734756
Azlan,2,0.025249337204898373
Chin,13,0.16412069183183942
Prim,3,0.03787400580734756
Shafiq,2,0.025249337204898373
Amber,2,0.025249337204898373
Elynn,2,0.025249337204898373
Thads,7,0.0883726802171443
Ong,35,0.4418634010857215
Xuebao,2,0.025249337204898373
Lucinda,6,0.07574801161469512
Jeffrey,2,0.025249337204898373
Joe,8,0.10099734881959349
Mindy,29,0.3661153894710264
Tom,37,0.4671127382906199
Thanksgivings,4,0.050498674409796745
Greg,2,0.025249337204898373
Serena,5,0.06312334301224592
Beary Best,7,0.0883726802171443
David Danille,2,0.025249337204898373
Tracey,4,0.050498674409796745
Xavier,2,0.025249337204898373
Melissa,3,0.03787400580734756
Zheng,2,0.025249337204898373
Lena,3,0.03787400580734756
Harry Dzung,2,0.025249337204898373
Stacy,18,0.22724403484408534
Jen,5,0.06312334301224592
Mathieu,3,0.03787400580734756
"",14,0.1767453604342886
Caleb,9,0.11362201742204267
Don,2,0.025249337204898373
Central Region,8,0.10099734881959349
Zhe Ying,2,0.025249337204898373
Phil,2,0.025249337204898373
Markus,3,0.03787400580734756
Sue / Mylene,3,0.03787400580734756
Daniela,2,0.025249337204898373
Xuan,5,0.06312334301224592
Seven,28,0.3534907208685772
Bill,2,0.025249337204898373
Mrs Tan,8,0.10099734881959349
Claire,3,0.03787400580734756
Gan,3,0.03787400580734756
Crystal,7,0.0883726802171443
Jessie,14,0.1767453604342886
Juliana,3,0.03787400580734756
Eva,4,0.050498674409796745
Diana,2,0.025249337204898373
Mabel,2,0.025249337204898373
艾伦,2,0.025249337204898373
Darren,9,0.11362201742204267
Liz,2,0.025249337204898373
Hillary,49,0.6186087615200101
Dt,2,0.025249337204898373
Flora,2,0.025249337204898373
Florence,2,0.025249337204898373
Tammy&Sean,4,0.050498674409796745
Liyx,2,0.025249337204898373
Shuying,12,0.15149602322939024
Wink,5,0.06312334301224592
Mk,2,0.025249337204898373
思宇,2,0.025249337204898373
Champ,7,0.0883726802171443
Linda,32,0.40398939527837396
Nur,2,0.025249337204898373
Tryston,15,0.18937002903673777
Chloe,6,0.07574801161469512
Yeo,5,0.06312334301224592
Kelvin,9,0.11362201742204267
Mulang,2,0.025249337204898373
Fang Wei,5,0.06312334301224592
Richards,157,1.9820729705845221
Lenneth,2,0.025249337204898373
Ken And Rain,2,0.025249337204898373
Capsule Hotel,8,0.10099734881959349
Amber&Marco,2,0.025249337204898373
Lynn,4,0.050498674409796745
Kelly,12,0.15149602322939024
Christopher,4,0.050498674409796745
Joanne,11,0.13887135462694103
Michelle,15,0.18937002903673777
Edwina,2,0.025249337204898373
颖,2,0.025249337204898373
Vince,2,0.025249337204898373
Jojo,5,0.06312334301224592
Tangoh,2,0.025249337204898373
V/,10,0.12624668602449185
Liu,3,0.03787400580734756
Helen,3,0.03787400580734756
Chelsey,59,0.744855447544502
Mei,10,0.12624668602449185
Megan,2,0.025249337204898373
Erin,4,0.050498674409796745
Chong,10,0.12624668602449185
Moe,2,0.025249337204898373
Heri,2,0.025249337204898373
Ling,8,0.10099734881959349
Evelyn,3,0.03787400580734756
Catty,2,0.025249337204898373
Margaret,4,0.050498674409796745
Tania,2,0.025249337204898373
Leon,2,0.025249337204898373
Qingyan,2,0.025249337204898373
Glamping,3,0.03787400580734756
BEAT. Sports Hostel,3,0.03787400580734756
Cheryl,13,0.16412069183183942
Paridhi,76,0.9594748137861381
Anita & David,3,0.03787400580734756
Lei Vee,2,0.025249337204898373
Zoe,6,0.07574801161469512
Haiyan,2,0.025249337204898373
Martin,7,0.0883726802171443
Skye,2,0.025249337204898373
Elle,5,0.06312334301224592
Frerriel,3,0.03787400580734756
Vu,17,0.21461936624163616
Royal Plaza On Scotts,2,0.025249337204898373
Becky,2,0.025249337204898373
Gweny,3,0.03787400580734756
Nicole,4,0.050498674409796745
JoJo,2,0.025249337204898373
Cheez,2,0.025249337204898373
Freddy,2,0.025249337204898373
Jackie & Debbie,2,0.025249337204898373
Takico,2,0.025249337204898373
M,3,0.03787400580734756
Lu,5,0.06312334301224592
May,8,0.10099734881959349
Amy,26,0.32824138366367883
L,28,0.3534907208685772
Jai,2,0.025249337204898373
Capella Club Residences,3,0.03787400580734756
Tien,3,0.03787400580734756
Rucksack Inn,3,0.03787400580734756
Piriya,2,0.025249337204898373
Eric,3,0.03787400580734756
Shan Bros,5,0.06312334301224592
Best Accommodation,7,0.0883726802171443
Maggie Wu,3,0.03787400580734756
Gary,3,0.03787400580734756
Florent,2,0.025249337204898373
Carrie,3,0.03787400580734756
Elaine,6,0.07574801161469512
Ngiam,2,0.025249337204898373
Michael,18,0.22724403484408534
Sarah,15,0.18937002903673777
Ethan,19,0.23986870344653452
Abegail,19,0.23986870344653452
